                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.84113,                0.42331,                0.84422,                 0.9187,                   0.78,                0.90629,                0.45129,                 1.6426,                0.65896,                 0.7684,                  2e-05,                  2e-05,                  2e-05
                     83,                0.87063,                0.43568,                0.85294,                 0.9231,                0.78667,                0.90539,                0.41752,                 1.7088,                0.67413,                0.76605,                1.9e-05,                1.9e-05,                1.9e-05
                     84,                0.85488,                 0.4243,                0.85714,                0.91371,                0.77652,                0.89448,                0.44411,                 1.6171,                0.66453,                0.76826,                1.8e-05,                1.8e-05,                1.8e-05
                     85,                0.85881,                0.42808,                0.85365,                0.95378,                   0.78,                0.91223,                 0.4587,                 1.6141,                0.66364,                0.76823,                1.7e-05,                1.7e-05,                1.7e-05
                     86,                0.83174,                0.41585,                0.84525,                0.94801,                    0.8,                0.91341,                 0.4424,                 1.6386,                 0.6558,                0.76963,                1.6e-05,                1.6e-05,                1.6e-05
                     87,                0.83899,                0.42569,                0.84366,                0.94157,                   0.78,                0.90746,                0.44191,                  1.623,                 0.6705,                0.76841,                1.5e-05,                1.5e-05,                1.5e-05
                     88,                0.85084,                0.42393,                0.84871,                0.95578,                0.77333,                0.90988,                0.44234,                 1.6423,                0.66792,                 0.7688,                1.4e-05,                1.4e-05,                1.4e-05
                     89,                0.83646,                0.41909,                0.84421,                0.94392,                0.78548,                0.90749,                0.45219,                 1.6336,                0.66309,                0.76868,                1.3e-05,                1.3e-05,                1.3e-05
                     90,                 0.8188,                0.41515,                0.84652,                0.93728,                0.79708,                0.90825,                0.45227,                 1.6387,                0.65293,                 0.7692,                1.2e-05,                1.2e-05,                1.2e-05
                     91,                0.86768,                 0.4191,                0.84354,                 0.9269,                0.77333,                0.87678,                0.42667,                 1.6123,                0.68598,                0.76732,                1.1e-05,                1.1e-05,                1.1e-05
                     92,                  0.841,                0.40587,                0.83912,                0.92511,                0.77333,                0.87167,                0.43128,                 1.6228,                0.69684,                0.76623,                  1e-05,                  1e-05,                  1e-05
                     93,                0.83064,                0.40864,                0.83419,                0.92733,                0.76562,                0.88157,                0.44049,                 1.6139,                0.69441,                0.76533,                  9e-06,                  9e-06,                  9e-06
                     94,                0.82031,                 0.3992,                0.82453,                0.95127,                0.78089,                0.89751,                0.45361,                 1.5993,                0.67767,                0.76624,                  8e-06,                  8e-06,                  8e-06
                     95,                0.81186,                0.40079,                0.83029,                0.95133,                0.78195,                0.90406,                0.44587,                  1.647,                0.67378,                 0.7659,                  7e-06,                  7e-06,                  7e-06
                     96,                0.80646,                0.39312,                0.83631,                0.95884,                0.77657,                0.90767,                0.43581,                 1.6706,                0.69164,                0.76596,                  6e-06,                  6e-06,                  6e-06
                     97,                0.82858,                0.39697,                0.83552,                0.96288,                0.77333,                0.91178,                0.44661,                 1.6444,                0.68112,                0.76727,                  5e-06,                  5e-06,                  5e-06
                     98,                0.82656,                0.39719,                0.82929,                0.96422,                0.77333,                0.91624,                0.46054,                 1.6059,                0.67602,                 0.7668,                  4e-06,                  4e-06,                  4e-06
                     99,                0.82051,                0.39973,                0.83056,                0.95307,                0.76667,                0.90396,                0.45821,                 1.6133,                0.67507,                0.76686,                  3e-06,                  3e-06,                  3e-06
                    100,                0.81822,                0.39798,                0.82869,                0.95895,                0.77333,                 0.9163,                 0.4562,                 1.6222,                0.67763,                0.76696,                  2e-06,                  2e-06,                  2e-06
